question,answer
어떤 언어로 질문할 수 있나요?,"Amazon Q Developer는 영어, 표준 중국어, 프랑스어, 독일어, 이탈리아어, 일본어, 스페인어, 한국어, 힌디어, 포르투갈어 등 다양한 언어로 질문에 답할 수 있습니다."
"Amazon Q Developer는 콘솔, IDE, AWS 설명서와 상호 작용할 때 그리고 Microsoft Teams 및 Slack를 통해 어떤 데이터를 저장하고 어떻게 사용합니까?","Amazon Q Developer는 질문, 응답 및 추가 컨텍스트(예: 콘솔 메타데이터 및 코드)를 통합 개발 환경(IDE)에 저장하여 질문에 대한 답변을 생성합니다. Amazon Q 프로 티어와 프리 티어의 경우 IDE에 열려 있는 코드 조각, 대화, 파일 콘텐츠를 비롯한 고객 콘텐츠가 서비스 제공 및 유지 관리를 위해 저장되고 처리될 수 있습니다. Microsoft Teams 및 Slack에서 사용할 경우 Amazon Q Developer는 글로벌 서비스로, AWS는 모든 상용 AWS 리전에서 고객 정보(예: 채널 구성 및 권한, Microsoft Teams 팀 식별자, Slack WorkSpace 식별자와 채널 이름, 알림, 사용자 입력, 생성된 응답과 이미지)를 저장하거나 처리할 수 있습니다.Amazon Q Developer 프로와 Amazon Q Business는 서비스 개선을 목적으로 사용자의 콘텐츠를 사용하지 않습니다.Amazon Q Developer 프리 티어의 경우 특정 콘텐츠를 서비스 개선 목적으로 사용할 수 있습니다(예: 일반적인 질문에 대한 응답 개선, Amazon Q 운영 문제 수정, 디버깅 또는 모델 훈련). AWS가 서비스 개선을 목적으로 사용할 수 있는 콘텐츠에는 Amazon Q에 대한 질문, Amazon Q가 생성하는 응답과 코드 등이 포함됩니다.Amazon Q Developer 프리 티어에서 서비스 개선을 목적으로 콘텐츠를 사용하는 것을 거부하는 방법은 Amazon Q를 사용하는 환경에 따라 다릅니다. 콘솔, Console 모바일 애플리케이션, Microsoft Teams, Slac 및 AWS 웹 사이트의 경우 AWS Organizations에서 AI 서비스 옵트아웃 정책을 구성하여 거부합니다. 자세한 내용은AWS Organizations 사용 설명서에서AI 서비스 옵트아웃 정책을 참조하세요. IDE에서는 IDE의 설정을 조정하여 거부합니다.AWS에서는 고객의 신뢰, 개인 정보, 데이터 보안을 최우선으로 하고 있으며 데이터에 대한 무단 액세스 또는 유출을 방지하기 위해 저장 중 및 전송 중 암호화를 비롯하여 적절하고 정교한 기술적 및 물리적 제어를 구현하고 고객과의 약속을 충실히 준수합니다. 자세한 내용은https://aws.amazon.com/compliance/data-privacy-faq/를 참조하세요."
"콘솔, AWS 웹 사이트, AWS 설명서에서 Amazon Q Developer를 시작하려면 어떻게 해야 하나요?",콘솔에서 Amazon Q Developer에 액세스하려면 먼저 콘솔에 로그인한 다음 Amazon Q Developer를 사용할 수 있는 적절한 권한이 있는지 확인해야 합니다. 관리자에게 문의하여 계정을 활성화할 수 있습니다. 콘솔 사이드바에 Amazon Q Developer 아이콘이 표시되면 아이콘을 선택하여 Amazon Q Developer 창을 연 다음 AWS 관련 질문을 합니다. 자세한 내용은Amazon Q Developer 시작하기를 참조하거나설명서를 읽어보세요.
Amazon Q Developer를 모바일 디바이스에서 사용할 수 있나요?,모바일 디바이스에서 Console 모바일 애플리케이션을 사용하여 Amazon Q Developer 대화 기능에 액세스할 수 있습니다. Console 모바일 애플리케이션을 사용할 때는 계정 차원의 Amazon Q Developer 프리 티어 한도가 적용됩니다. Amazon Q Developer Free 티어에 대한 자세한 정보는 Amazon Q Developer요금페이지에서 확인하세요. Console 모바일 애플리케이션을 사용하여 Amazon Elastic Compute Cloud(Amazon EC2)에서 선택한 Amazon Q Developer 인스턴스 또는 Amazon Q Developer 네트워크 연결 가능성 분석에 액세스할 수 없습니다.
팀 채팅 애플리케이션에서 Amazon Q Developer를 사용할 수 있나요?,Amazon Q Developer는 Microsoft Teams 또는 Slack에서 사용할 수 있습니다. 자세한 내용은설명서에서 확인하세요.
채팅 애플리케이션에서 Amazon Q Developer를 사용할 때 액세스 제어 및 권한을 관리하려면 어떻게 해야 하나요?,"고객은 AWS Organizations의 채팅 애플리케이션 정책 및 다중 계정 관리 서비스를 사용하여 계정에 액세스하는 데 사용할 수 있는 권한 모델, 채팅 애플리케이션, 채팅 워크스페이스를 결정할 수 있습니다. 서비스 제어 정책(SCP)을 사용하여 조직의 채팅 채널에서 실행되는 작업을 제어할 수 있습니다. Amazon Q Developer 채널 구성은 CLI 기반 명령을 실행할 때 IAM 역할 기반 권한 범위를 사용합니다. 자세한 내용은Understanding Amazon Q Developer permissions documentation섹션을 참조하세요."
Amazon Q Developer를 사용할 경우 채팅 애플리케이션에서 사용할 수 있는 감사 추적 기능은 무엇입니까?,"Amazon Q Developer는 CloudWatch Logs에서 실행하는 CLI 기반 명령 및 작업에 대한 감사 로그를 제공합니다. 이 로그는 실행된 명령과 채팅 작업 공간/테넌트 ID, 채널 ID, 채널 사용자 ID 속성을 포함합니다. CloudWatch Logs의 감사 로그 이벤트는 항상 활성화되어 있으며 비활성화될 수 없습니다. 자세한 내용은채팅 채널의 Amazon Q Developer 사용 설명서를 참조하세요."
Amazon Q Developer는 어떤 IDE를 지원하나요?,"Amazon Q Developer는 현재 Visual Studio(VS) 코드, IntelliJ IDE 및 Eclipse(평가판)를 지원합니다. IDE에서 Amazon Q Developer를 시작하려면Amazon Q Developer 시작하기를 참조하거나설명서를 읽어보세요."
Amazon Q Developer는 어떤 코드 언어와 IDE를 지원하나요?,"AWS Toolkit for VS Code 및 JetBrains의 일부로 제공되는 Amazon Q Developer는 현재 영어와 Python, Java, JavaScript, TypeScript, C#, Go, Rust, PHP, Ruby, Kotlin, C, C++, 쉘 스크립팅, SQL, Scala 프로그래밍 언어로 대화를 지원합니다."
Amazon Q Developer 기능은 어느 AWS 리전에서 사용할 수 있나요?,Amazon Q Developer를 사용할 수 있는 리전에 대한 자세한 내용은Supported Regions for Amazon Q Developer를 참조하세요.
Amazon Q Developer 구독은 어느 AWS IAM Identity Center 리전에서 지원되나요?,Amazon Q Developer 구독이 지원되는 Identity Center 리전에 대한 자세한 내용은Supported Identity Center Regions for Amazon Q Developer를 참조하세요.
Amazon Q Developer는 교차 리전 추론을 사용하나요?,"Amazon Q Developer는 Amazon Bedrock을 기반으로 하며, 교차 리전 추론을 사용하여 트래픽을 여러 AWS 리전에 분산함으로써 대규모 언어 모델(LLM) 추론 성능과 신뢰성을 개선합니다. 교차 리전 추론을 통해 얻을 수 있는 이점은 다음과 같습니다.수요가 많은 기간 동안 처리량 및 복원력 향상성능 개선Amazon Bedrock에서 호스팅되는 가장 강력한 LLM에 기반하는 새로 출시된 Amazon Q Developer 기능에 액세스Amazon Q Developer Pro 티어에서는 Amazon Q Developer 프로필이 생성된 리전에 데이터가 저장됩니다. Amazon Q Developer 프리 티어에서는 데이터가 미국 리전에 저장됩니다. 콘솔 오류 세션을 진단하는 동안 처리된 데이터는 미국 서부(오리건) 리전에 저장됩니다. 기타 모든 데이터는 미국 동부(버지니아 북부) 리전에 저장됩니다.교차 리전 추론을 사용하면 Amazon Q Developer에 대한 요청은 데이터가 저장되는 리전 내의 다른 리전에서 처리될 수 있습니다. 자세한 내용은 Amazon Q Developer 사용 설명서의교차 리전 추론항목을 참조하세요."
Amazon Q Developer는 어떤 프로그래밍 언어와 IDE를 지원하나요?,"AWS Toolkit for VS Code 및 JetBrains의 일부로 제공되는 Amazon Q Developer는 현재 Python, Java, JavaScript, TypeScript, C#, Go, Rust, PHP, Ruby, Kotlin, C, C++, 쉘 스크립팅, SQL, Scala, JSON, YAML, 및 HCL을 지원합니다. Amazon Q Developer는 VS Code와 IntelliJ, PyCharm, GoLand, CLion, PhpStorm, RubyMine, Rider, WebStorm, DataGrip, Eclipse(평가판), Visual Studio를 비롯한 JetBrains IDE 제품군 외에 AWS Cloud9, Lambda 콘솔에서도 사용할 수 있습니다. Amazon Q Developer는 macOS 터미널, iTerm2, 내장된 VS Code 터미널 등 자주 사용하는 명령줄에도 사용할 수 있습니다."
내 콘텐츠는 전송 시 어떻게 보호되나요?,콘텐츠는 TLS 프로토콜을 사용하여 전송되어 IDE와 Amazon Q Developer 서비스 간의 보안 통신을 보장합니다. 콘텐츠는 도청 또는 중간자 공격을 방지하기 위해 전송 중에 암호화됩니다. Amazon Q Developer 프리 티어 사용자의 경우 사용자 설정에 따라 서비스 개선 목적으로 콘텐츠를 보관할 수 있습니다. 이 콘텐츠는 저장 시 암호화와 엄격한 액세스 제어를 통해 안전한 방식으로 보관됩니다.
Amazon Q Developer는 모델을 훈련하는 데 사용자의 콘텐츠를 사용하나요?,"프로 티어로 Amazon Q Developer에 액세스하는 사용자의 경우 기반 FM 훈련에 사용자의 콘텐츠가 사용되지 않습니다. AWS는 프로 티어와 프리 티어 모두에서 서비스 개선을 위해 클라이언트 측 원격 측정 및 사용량 지표를 수집하고 사용할 수 있습니다. IDE에서 설정을 조정하여 이 데이터 수집을 거부할 수 있습니다. Amazon Q 프리 티어의 경우 IDE에 열려 있는 코드 조각, 대화, 파일 콘텐츠를 비롯한 고객 콘텐츠가 서비스 제공 및 유지 관리를 위해 저장되고 처리될 수 있습니다. 명시적으로 거부하지 않는 한 콘텐츠는 FM의 품질을 높이고 개선하는 데에도 사용될 수 있습니다. 설명서에 설명된 옵트아웃 메커니즘을 사용하는 경우 사용자의 콘텐츠가 사용되지 않습니다. 자세한 내용은AWS와 데이터 공유를 참조하세요."
Amazon Q Developer는 CodeWhisperer와 어떤 관련이 있나요?,"2024년 4월 30일부로 Amazon CodeWhisperer의 이름이 Amazon Q Developer로 변경됩니다. 이제 CodeWhisperer의 모든 기능이 Amazon Q Developer의 일부로 제공됩니다. Amazon Q Developer 사용자는 IDE 또는 명령줄의 생성형 AI 기반 인라인 코드 제안, 보안 취약성 검사, 보안 취약성 개선 기능을 이용할 수 있습니다."
Amazon CodeWhisperer의 이름이 바뀌었나요?,"예. 4월 30일부로 CodeWhisperer의 이름을 Amazon Q Developer로 변경하며, CodeWhisperer가 제공하는 모든 기능은 이제 Amazon Q Developer에 포함됩니다. Amazon Q Developer 사용자는 IDE 또는 명령줄의 생성형 AI 기반 인라인 코드 제안, 보안 취약성 검사, 보안 취약성 개선 등을 받을 수 있습니다.Amazon Q 정식 출시 발표에서 자세히 알아보세요."
변경된 이름은 언제 적용되나요?,변경된 이름은 2024년 4월 30일에 적용되며 CodeWhisperer 콘솔을 비롯한 다른 변경 사항의 경우 새로운 Amazon Q Developer 환경으로 전환하는 데 몇 주가 더 걸립니다. IDE에 로그인하는 CodeWhisperer 고객은 변경된 이름이 이미 반영된 것을 확인할 수 있습니다.
