question,answer
Amazon Bedrock이란 무엇인가요?,"Amazon Bedrock은 완전관리형 서비스입니다. 업계 최고 수준의 다양한 파운데이션 모델(FM) 중에서 선택할 수 있고 생성형 AI 애플리케이션을 구축하는 데 필요한 다양한 기능 세트를 제공하므로 보안, 개인 정보 보호, 책임 있는 AI를 준수하면서 간편하게 개발할 수 있습니다. Amazon Bedrock은 코드를 작성하지 않고도 다양한 주요 FM을 실험하고, 미세 조정 및 검색 증강 생성(RAG)과 같은 기술로 데이터를 사용하여 이러한 FM을 비공개로 사용자 지정하며, 여행 예약 및 보험 청구 처리부터 광고 캠페인 생성 및 재고 관리에 이르는 복잡한 비즈니스 태스크를 실행하는 관리형 에이전트를 만들 수 있는 포괄적인 기능을 제공합니다. Amazon Bedrock은 서버리스이므로 인프라를 관리할 필요가 없으며 이미 익숙한 AWS 서비스를 사용하여 생성형 AI 기능을 애플리케이션에 안전하게 통합하고 배포할 수 있습니다."
Amazon Bedrock을 사용해야 하는 이유는 무엇입니까?,"생성형 AI 애플리케이션 구축에 Amazon Bedrock을 사용해야 하는 이유는 다섯 가지가 있습니다.선도적인 FM 선택: Amazon Bedrock은 Amazon 및 AI21 Labs, Anthropic, Cohere, Meta, Mistral AI 및 Stability AI와 같은 선도적인 AI 기업의 광범위한 고성능 FM을 연동할 수 있는 사용하기 쉬운 개발자 환경을 제공합니다. 플레이그라운드에서 다양한 FM을 빠르게 실험하고 선택한 모델과 관계없이 단일 API를 사용하여 추론할 수 있으므로 다양한 제공업체의 FM을 유연하게 사용하고 코드 변경을 최소화하면서 최신 모델 버전을 유지할 수 있습니다.데이터로 간편하게 모델 사용자 지정: 코드를 작성하지 않고도 시각적 인터페이스를 통해 자체 데이터로 FM을 비공개로 사용자 지정할 수 있습니다. Amazon Simple Storage Service(S3)에 저장된 훈련 및 검증 데이터 세트를 선택하면 됩니다. 필요한 경우 하이퍼파라미터를 조정하여 최상의 모델 성능을 달성할 수 있습니다.API를 동적으로 호출하여 태스크를 실행할 수 있는 완전 관리형 에이전트: 회사 시스템 및 API를 동적으로 호출하여 여행 예약 및 보험 청구 처리부터 광고 캠페인 작성, 세금 신고 준비, 재고 관리에 이르는 복잡한 비즈니스 태스크를 수행하는 에이전트를 구축할 수 있습니다. Amazon Bedrock용 완전관리형 에이전트는 FM의 추론 기능을 확장하여 태스크를 분류하고, 오케스트레이션 계획을 만들고, 이를 실행합니다.RAG에 대한 기본 지원을 통해 독점 데이터로 FM의 성능 확장: Amazon Bedrock 기술 자료를 사용하여 FM을 데이터 소스에 안전하게 연결하고 관리형 서비스 내에서 검색 기능을 강화할 수 있습니다. 이렇게 하면 FM의 이미 강력한 기능을 확장하여 특정 도메인 및 조직에 대한 지식을 추가로 보강할 수 있습니다.데이터 보안 및 규정 준수 인증: Amazon Bedrock은 보안 및 개인 정보 보호 요구 사항을 지원하는 여러 기능을 제공합니다. Amazon Bedrock은 SOC(Service and Organization Control), 국제표준화기구(ISO)과 같은 일반적인 규정 준수 표준의 범위 내에 있고, 건강 보험 이전 및 책임법(HIPAA)에 부합하며, 고객은 일반 데이터 보호 규정(GDPR)을 준수하면서 Amazon Bedrock을 사용할 수 있습니다. Amazon Bedrock은 AWS 클라우드 서비스의 모범 사례 사용 및 보안 상태를 검증하는 CSA STAR(Security Trust Assurance and Risk) 레벨 2 인증을 받았습니다. Amazon Bedrock에서 고객의 콘텐츠는 파운데이션 모델을 개선하는 데 사용되지 않으며 모델 제공업체와 공유되지 않습니다. Amazon Bedrock의 데이터는 전송 중과 저장 시에 항상 암호화되며, 자체 키를 사용하여 필요에 따라 데이터를 암호화할 수도 있습니다. AWS PrivateLink와 Amazon Bedrock을 사용하면 트래픽을 인터넷에 노출시키지 않고도 FM과 Amazon Virtual Private Cloud(VPC) 간에 프라이빗 연결을 설정할 수 있습니다."
Amazon Bedrock을 시작하려면 어떻게 해야 하나요?,Amazon Bedrock의 서버리스 환경을 사용하면 빠르게 시작할 수 있습니다. AWS Management Console에서 Amazon Bedrock으로 이동하여 플레이그라운드에서 FM을 사용해 보세요. 에이전트를 만들어 콘솔에서 테스트할 수도 있습니다. 사용 사례를 파악하고 나면 인프라를 관리할 필요 없이 AWS 도구를 사용하여 FM을 애플리케이션에 손쉽게 통합할 수 있습니다.Amazon Bedrock 시작하기 과정링크Amazon Bedrock 사용 설명서링크
Amazon Bedrock은 다른 서비스와 어떻게 연동되나요?,"Amazon Bedrock은 작업 간접 호출을 위해 AWS Lambda와, 훈련 및 검증 데이터를 위해 Amazon S3와, 지표 추적을 위해 Amazon CloudWatch와 각각 연동됩니다."
Amazon Bedrock의 가장 일반적인 사용 사례는 무엇인가요?,"사용 사례로 빠르게 시작할 수 있습니다.단편 소설, 에세이, 소셜 미디어 게시물, 웹 페이지 카피와 같은 독창적인 콘텐츠를 새롭게 창작할 수 있습니다.정보를 검색하고 찾고 합성하여 대량의 데이터에서 원하는 인사이트를 얻습니다.언어 프롬프트를 통해 다양한 주제, 환경 및 장면의 사실적이고 예술적인 이미지를 만들 수 있습니다.단어 매칭보다 연관성이 높고 상황에 맞는 제품 추천을 통해, 고객이 원하는 결과를 손쉽게 찾을 수 있도록 합니다.기사, 블로그 게시물, 책, 문서 등 텍스트 콘텐츠를 요약한 정보를 얻어, 전체 콘텐츠를 읽지 않고도 요점을 파악할 수 있습니다.구매자의 취향과 과거 구매 기록에 맞는 상품을 제안합니다.더 많은생성형 AI 사용 사례를 살펴보세요."
Amazon Bedrock Playground란 무엇인가요?,Amazon Bedrock은 대화형 채팅 인터페이스를 사용하여 다양한 FM을 실험해 볼 수 있는 플레이그라운드를 제공합니다. 사용자는 콘솔의 웹 인터페이스를 사용하여 프롬프트를 제공하고 사전 훈련된 모델을 사용하여 텍스트 또는 이미지를 생성하거나 사용 사례에 맞게 미세 조정된 모델을 사용할 수 있습니다.
어느 AWS 리전에서 Amazon Bedrock을 사용할 수 있나요?,Amazon Bedrock을 사용할 수 있는 AWS 리전의 목록은 Amazon Bedrock 참조 가이드에서Amazon Bedrock 엔드포인트 및 할당량을 참조하세요.
Amazon Bedrock에서 모델을 사용자 지정하려면 어떻게 해야 하나요?,"태그가 지정된 데이터를 사용하거나 지속적인 사전 학습 기능을 사용하여 모델을 태그가 지정되지 않은 데이터로 사용자 지정함으로써 Amazon Bedrock에서 FM을 쉽게 미세 조정할 수 있습니다. 시작하려면 훈련 및 검증 데이터 세트를 제공하고 하이퍼파라미터(에포크, 배치 크기, 학습 속도, 워밍업 단계)를 구성한 다음 작업을 제출합니다. 몇 시간 내에 동일한 API(InvokeModel)를 사용하여 미세 조정된 모델에 액세스할 수 있습니다."
Amazon Bedrock에서 모델을 훈련하고 배포할 수 있나요?,"예. 사용자 지정 모델 가져오기 기능을 사용하여 공개적으로 사용 가능한 선택 모델을 교육하고 Amazon Bedrock으로 가져올 수 있습니다. 현재 이 기능은 Llama 2/3, Llama, Flan 아키텍처에서만 지원합니다. 자세한 내용은설명서를 참조하세요."
Amazon Bedrock에서 지연 시간에 최적화된 추론이란 무엇인가요?,Amazon Bedrock의 지연 시간에 최적화된 추론을 통해 공개 평가판으로 사용할 수 있으므로 정확도 저하 없이 지연 시간을 줄일 수 있습니다. Anthropic에서 검증한 바와 같이 Amazon Bedrock에서 지연 시간 최적화 추론을 통해 Claude 3.5 Haiku는 다른 어느 곳보다 AWS에서 더 빠르게 실행됩니다. 또한 Llama 3.1 70B 및 405B 역시 Bedrock의 지연 시간 최적화 추론 기능을 사용하는 경우 다른 어떤 주요 클라우드 공급업체의 클라우드보다 AWS에서 더 빠르게 실행됩니다. 고객은 AWS Trainium2와 같은 목적별 AI 칩과 Amazon Bedrock의 고급 소프트웨어 최적화 기능을 사용하여 특정 사용 사례에 맞게 추론을 최적화하는 더욱 다양한 옵션에 액세스할 수 있습니다.주요 기능:파운데이션 모델 상호 작용의 응답 시간 단축속도를 향상시키면서 정확도 유지추가 설정이나 모델 미세 조정이 필요하지 않음지원 모델: Anthropic의 Claude 3.5 Haiku와 Meta의 Llama 3.1 모델 405B 및 70B가용성: 교차 리전 간 추론을 통한 미국 동부(오하이오) 리전시작하려면Amazon Bedrock 콘솔로 이동하세요. 자세한 내용은Amazon Bedrock 설명서를 참조하세요.
