question,answer
Amazon SageMaker AI란 무엇인가요?,"Amazon SageMaker AI는 모든 사용 사례에서 저비용 고성능 기계 학습(ML)을 지원하는 다양한 도구 세트를 한데 결합한 완전관리형 서비스입니다. SageMaker AI를 사용하면 단일 통합 개발 환경(IDE)에서 노트북, 디버거, 프로파일러, 파이프라인, MLOP 등의 도구를 사용하여 대규모로 ML 모델을 빌드, 훈련 및 배포할 수 있습니다. SageMaker AI는 ML 프로젝트에 대한 간소화된 액세스 제어 및 투명성을 통해 거버넌스 요구 사항을 지원합니다. 또한 파운데이션 모델(FM)을 미세 조정, 실험, 재훈련 및 배포하는 목적별 도구를 사용하여 대규모 데이터세트로 훈련된 대규모 모델인 자체 FM을 구축할 수 있습니다. SageMaker AI는 일반에 공개된 FM을 비롯하여, 몇 단계만으로 배포할 수 있는 수백 개의 사전 훈련된 모델에 대한 액세스도 제공합니다."
SageMaker는 어느 AWS 리전에서 사용할 수 있나요?,지원되는 SageMaker 리전의 목록은AWS 리전 서비스 페이지를 참조하세요. 자세한 내용은 AWS 일반 참조 가이드에서리전 엔드포인트를 참조하세요.
SageMaker의 서비스 가용성은 어떤가요?,SageMaker는 고가용성을 제공하도록 설계되었습니다. 유지 관리 기간이나 예약된 가동 중지 시간이 없습니다. SageMaker API는 입증된 고가용성 Amazon 데이터 센터에서 실행되며 각 리전의 시설 세 곳에 서비스 스택 복제가 구성되어 있어 서버 장애나 가용 영역 중단 시에 내결함성을 제공합니다.
SageMaker는 어떤 방식으로 코드 보안을 제공하나요?,SageMaker는 보안 그룹과 저장 중 암호화(선택 사항)로 보호된 ML 스토리지 볼륨에 코드를 저장합니다.
SageMaker에는 어떤 보안 조치가 있나요?,"SageMaker는 전송 중이거나 저장 중인 ML 모델 아티팩트 및 기타 시스템 아티팩트를 암호화합니다. SageMaker API 및 콘솔에 대한 요청은 보안(SSL) 연결을 통해 전달됩니다. 사용자는AWS Identity and Access Management 역할을 SageMaker로 전달하여 사용자 대신, 훈련 및 배포를 위해 리소스에 액세스할 수 있는 권한을 제공합니다. 모델 아티팩트 및 데이터에 대해 암호화된 Amazon Simple Storage Service(S3) 버킷을 사용하고 AWS Key Management Service(AWS KMS) 키를 SageMaker 노트북, 훈련 작업 및 엔드포인트로 전달하여 연결된 ML 스토리지 볼륨을 암호화할 수 있습니다. 또한 SageMaker는 Amazon Virtual Private Cloud(VPC) 및 AWS PrivateLink 지원도 제공합니다."
"SageMaker는 모델, 훈련 데이터 또는 알고리즘을 사용하거나 공유하나요?","SageMaker는 고객 모델, 훈련 데이터 또는 알고리즘을 사용하거나 공유하지 않습니다. AWS는 프라이버시와 데이터 보안이 고객에게 얼마나 중요한지 잘 알고 있습니다. 따라서 AWS에서는 콘텐츠를 저장할 장소를 결정하고, 저장 콘텐츠 및 전송 콘텐츠를 보호하며, AWS 서비스와 리소스에 대한 사용자의 액세스를 관리할 수 있는 단순하지만 강력한 도구를 통해 고객에게 콘텐츠에 대한 소유권과 제어권을 제공합니다. 또한 AWS는 고객 콘텐츠에 대한 무단 액세스나 공개를 차단하도록 설계된 기술적 제어 및 물리적 제어를 구현합니다. 고객은 자신의 콘텐츠에 대한 소유권을 유지하고 콘텐츠를 처리, 저장 및 호스팅할 AWS 서비스를 선택합니다. AWS에서는 고객의 동의 없이는 어떠한 목적으로도 고객 콘텐츠에 액세스하지 않습니다."
SageMaker 사용 요금은 어떻게 부과되나요?,"노트북을 호스팅하고 모델을 훈련하고 예측을 수행하며 출력을 로깅하는 데 사용하는 ML 컴퓨팅, 스토리지 및 데이터 처리 리소스에 대한 요금이 부과됩니다. SageMaker를 사용할 때는 호스팅된 노트북, 훈련 및 모델 호스팅에 사용되는 인스턴스 수 및 유형을 선택할 수 있습니다. 서비스를 사용하면서 사용한 만큼만 비용을 지불하며 최소 요금 및 사전 약정은 없습니다. 자세한 내용은Amazon SageMaker 요금및Amazon SageMaker 요금 계산기를 참조하세요."
유휴 리소스를 검색하고 중지하여 불필요한 요금을 방지하는 것과 같이 SageMaker 비용을 최적화하려면 어떻게 해야 하나요?,SageMaker 리소스 사용량을 최적화하는 데 사용할 수 있는 여러 모범 사례가 있습니다. 구성 최적화를 수행하는 것과 관련된 접근 방식이 있고 프로그래밍 방식 솔루션을 제공하는 접근 방식도 있습니다.이 블로그 게시물에서 시각적 자습서 및 코드 샘플과 함께 이 개념에 대한 전체 가이드를 확인할 수 있습니다.
"자체 노트북, 훈련 또는 호스팅 환경이 있는 경우는 어떻게 되나요?","SageMaker는 완전한 전체 워크플로를 제공하지만, SageMaker에서 기존 도구를 계속 사용할 수 있습니다. 비즈니스 요구 사항에 따라 필요한 대로 SageMaker에서 각 단계의 결과를 손쉽게 송수신할 수 있습니다."
SageMaker에서 R이 지원되나요?,"예. SageMaker 노트북 인스턴스에서 R을 사용할 수 있으며, 여기에는 사전 설치된 R 커널과 reticulate 라이브러리가 포함됩니다.Reticulate는 Amazon SageMaker Python SDK를 위한 R 인터페이스를 제공하여 ML 실무자의 R 모델 구축, 훈련, 튜닝 및 배포 작업을 지원합니다. 또한 Amazon SageMaker Studio에서 R용 통합 개발 환경(IDE)인 RStudio를 시작할 수도 있습니다."
