listid,sellerid,eventid,dateid,numtickets,priceperticket,totalprice,listtime
1,36861,7872,1850,10,182.0,1820.0,2008-01-24 06:43:29
2,16002,4806,1890,7,233.0,1631.0,2008-03-05 12:25:29
3,21461,4256,2131,2,182.0,364.0,2008-11-01 07:35:33
4,8117,4337,1970,8,38.0,304.0,2008-05-24 01:18:37
5,1616,8647,1963,4,175.0,700.0,2008-05-17 02:29:11
6,47402,8240,2053,18,77.0,1386.0,2008-08-15 02:08:13
7,36551,7801,2145,5,30.0,150.0,2008-11-15 09:38:15
8,11891,8036,2139,6,82.0,492.0,2008-11-09 05:07:30
9,691,554,2078,6,135.0,810.0,2008-09-09 08:03:36
10,24858,3375,1994,16,197.0,3152.0,2008-06-17 09:44:54
11,41053,3877,2146,5,24.0,120.0,2008-11-16 11:59:10
12,45635,4769,2032,26,65.0,1690.0,2008-07-25 01:45:49
13,30606,2147,1883,3,172.0,516.0,2008-02-26 05:04:06
14,12651,2762,2058,8,122.0,976.0,2008-08-20 01:45:26
15,46833,7910,1947,24,75.0,1800.0,2008-05-01 04:26:30
16,41902,4571,2062,6,231.0,1386.0,2008-08-24 09:36:12
17,20228,7837,1865,9,167.0,1503.0,2008-02-08 06:27:54
18,13013,7085,2049,14,219.0,3066.0,2008-08-11 06:33:03
19,12339,3423,1986,2,53.0,106.0,2008-06-09 08:39:56
20,6300,2075,1876,7,66.0,462.0,2008-02-19 12:28:01
21,45104,403,1980,8,222.0,1776.0,2008-06-03 11:27:11
22,19934,742,2023,9,38.0,342.0,2008-07-16 11:10:24
23,4820,7116,1833,24,129.0,3096.0,2008-01-07 02:51:57
24,24459,1260,1918,5,164.0,820.0,2008-04-02 12:52:49
27,42172,6859,1913,28,189.0,5292.0,2008-03-28 03:14:29
28,32241,1820,2107,1,111.0,111.0,2008-10-08 03:56:33
29,34152,7622,2120,5,29.0,145.0,2008-10-21 02:12:50
30,16240,7351,2104,30,218.0,6540.0,2008-10-05 08:05:05
31,22085,4775,2040,20,244.0,4880.0,2008-08-02 06:56:54
32,42668,6478,2119,26,205.0,5330.0,2008-10-20 10:12:19
33,16781,5055,2027,24,188.0,4512.0,2008-07-20 10:09:37
34,38609,1468,2133,8,213.0,1704.0,2008-11-03 02:50:43
35,28953,3663,2087,20,135.0,2700.0,2008-09-18 10:49:39
36,42794,3267,2095,12,62.0,744.0,2008-09-26 07:21:33
37,8213,147,2046,1,53.0,53.0,2008-08-08 02:00:40
38,48903,8493,2173,30,75.0,2250.0,2008-12-13 04:00:33
39,7312,536,1992,18,209.0,3762.0,2008-06-15 11:16:23
40,23708,2179,2095,28,70.0,1960.0,2008-09-26 05:43:12
41,10985,6442,1867,16,140.0,2240.0,2008-02-10 01:12:35
42,14734,5322,1894,4,78.0,312.0,2008-03-09 04:32:22
43,42586,8656,1844,16,86.0,1376.0,2008-01-18 09:45:27
44,23129,3848,1943,7,102.0,714.0,2008-04-27 12:26:55
45,20888,2036,2051,24,210.0,5040.0,2008-08-13 09:52:16
46,42773,6273,2008,10,37.0,370.0,2008-07-01 02:45:45
47,49346,8577,2101,3,189.0,567.0,2008-10-02 07:56:35
48,3588,7922,1941,2,133.0,266.0,2008-04-25 11:43:45
49,9225,886,1990,7,201.0,1407.0,2008-06-13 03:37:25
50,29082,1425,1852,14,216.0,3024.0,2008-01-26 04:23:40
51,26624,740,1963,2,119.0,238.0,2008-05-17 01:44:05
52,27110,2300,2116,10,126.0,1260.0,2008-10-17 01:29:57
53,824,8415,2011,22,190.0,4180.0,2008-07-04 12:25:01
54,49467,283,2103,28,33.0,924.0,2008-10-04 02:00:30
55,1654,4955,1922,24,248.0,5952.0,2008-04-06 02:14:30
56,48500,2360,1843,16,218.0,3488.0,2008-01-17 02:30:39
57,20347,7721,1832,24,98.0,2352.0,2008-01-06 08:33:11
58,38249,401,2098,12,221.0,2652.0,2008-09-29 10:29:05
59,43575,5933,2013,20,98.0,1960.0,2008-07-06 12:44:02
60,21475,2969,2168,18,108.0,1944.0,2008-12-08 01:04:35
61,5258,505,2038,9,84.0,756.0,2008-07-31 09:04:54
62,19129,3511,2167,5,85.0,425.0,2008-12-07 04:02:40
63,41815,8260,1849,28,38.0,1064.0,2008-01-23 05:38:53
64,18073,5872,1876,24,88.0,2112.0,2008-02-19 02:07:55
65,12296,811,1865,8,35.0,280.0,2008-02-08 01:49:23
66,9151,8478,2102,6,248.0,1488.0,2008-10-03 09:54:25
67,49337,273,2153,30,230.0,6900.0,2008-11-23 06:28:26
69,42062,2906,1902,3,250.0,750.0,2008-03-17 07:20:05
70,26648,4375,1903,9,27.0,243.0,2008-03-18 07:19:35
71,22465,4570,1977,8,98.0,784.0,2008-05-31 03:39:06
72,11258,3398,2077,8,164.0,1312.0,2008-09-08 07:12:16
74,22820,5792,2020,6,151.0,906.0,2008-07-13 12:46:25
75,24018,8715,2085,3,34.0,102.0,2008-09-16 10:54:40
77,10156,4251,1894,1,200.0,200.0,2008-03-09 06:30:29
79,43637,2267,1868,10,242.0,2420.0,2008-02-11 01:40:55
80,28070,7302,2058,8,24.0,192.0,2008-08-20 09:33:43
81,6330,1816,1929,22,46.0,1012.0,2008-04-13 01:59:00
82,43570,3236,1844,24,139.0,3336.0,2008-01-18 08:36:34
83,21300,677,2085,28,168.0,4704.0,2008-09-16 04:34:32
85,49258,473,2116,5,202.0,1010.0,2008-10-17 06:20:19
86,3349,8273,1866,16,74.0,1184.0,2008-02-09 01:31:32
87,49732,3414,1992,3,234.0,702.0,2008-06-15 03:20:22
88,25759,8584,1983,3,86.0,258.0,2008-06-06 10:35:42
90,24855,299,2032,22,212.0,4664.0,2008-07-25 02:11:06
91,38053,3027,2114,16,193.0,3088.0,2008-10-15 10:32:27
93,27087,8754,2169,5,87.0,435.0,2008-12-09 06:11:42
94,23652,6117,2047,3,37.0,111.0,2008-08-09 04:49:27
95,10124,489,2032,7,115.0,805.0,2008-07-25 07:30:52
96,11679,1501,2020,30,245.0,7350.0,2008-07-13 12:27:30
97,45658,8721,2060,28,106.0,2968.0,2008-08-22 05:09:37
98,44028,3017,1933,1,53.0,53.0,2008-04-17 09:09:09
99,9188,6406,2083,5,197.0,985.0,2008-09-14 04:02:15
